,AREA,AUDIENCE,NAME,RANK,RATING,TAGS,URL,YEAR
820,['中国大陆'],17055,大国崛起,821,8.7,"['纪录片', '历史', '大国崛起', '中国', 'CCTV', '政治', '记录片', '大陆']",https://movie.douban.com/subject/1925032/,2006
821,['英国'],181,日月星宿 The Planets,822,8.7,"['纪录片', 'bbc', '宇宙', '科普', '英国', 'BBC', '日月星宿', '1999']",https://movie.douban.com/subject/1437421/,1999
822,['英国'],1032,地平线系列：猫咪观察 Cat Watch 2014: The New Horizon Experiment,823,8.7,"['纪录片', '猫', '英国', 'BBC', '动物', '2014', '喵星人', 'documentary']",https://movie.douban.com/subject/26260825/,2014
823,['中国大陆'],318,张梁记,824,8.7,"['纪录片', '旅行', '侣行', '中国', '270', '绝对支持270！可惜侣行的都给删了。。。。。。', '真实故事', '梁红']",https://movie.douban.com/subject/26830016/,2016
824,['中国大陆'],297,太极武当,825,8.7,"['纪录片', '太极', '中国', '太极，武当，道教', '人文地理', '传统文化', '道', '武当']",https://movie.douban.com/subject/5318680/,2010
825,['瑞典'],2069,打扰伯格曼 Trespassing Bergman,826,8.7,"['纪录片', '英格玛·伯格曼', '瑞典', '伯格曼', '2013', '电影', '李安', '传记']",https://movie.douban.com/subject/24875641/,2013
826,['中国大陆'],182,幸福生活,827,8.7,"['纪录片', '蒋樾', '中国', '独立电影', '中国大陆纪录片', '大陆', '中国电影', '紀錄片']",https://movie.douban.com/subject/3141467/,2002
827,['日本'],160,新垣结衣 一步步一点点 二十岁的现在 新垣結衣 一歩ずつ 少しずつ ～二十歳の今～,828,9.2,"['新垣结衣', '新垣結衣', '纪录片', '日本', 'GAKKI', '日剧', '日影', '成长']",https://movie.douban.com/subject/25777701/,2008
828,['日本'],347,关口知宏日本列岛铁道纵横决定版 決定版 列島縦断鉄道12000km 最長片道切符の旅,829,8.7,"['纪录片', '日本', 'NHK', '关口知宏', '铁道纪录片', '旅行', '铁路', '日本纪录片']",https://movie.douban.com/subject/3732493/,2004
829,['美国'],314,少年派后的日子 Life After Pi,830,8.7,"['纪录片', '美国', '特效公司', '2014', '紀錄片', '电影', '短片', 'VFX']",https://movie.douban.com/subject/25838906/,2014
830,['英国'],226,自然世界：喜马拉雅山 Natural World: The Himalayas,831,8.7,"['纪录片', 'BBC', '喜马拉雅', '英国', '2010', '自然', '纪录', 'Natural.World']",https://movie.douban.com/subject/5320234/,2010
831,['美国'],167,极速 Fastest,832,8.7,"['纪录片', '摩托', '美国', '瓦伦蒂诺·罗西', '传记', '伊万·麦克格雷格', 'EwanMcGregor', '美国电影']",https://movie.douban.com/subject/6386986/,2011
832,['美国'],2810,镜头里的人生：肖像摄影大师安妮·莱博维茨 Annie Leibovitz: Life Through a Lens,833,8.7,"['纪录片', '摄影', 'AnnieLeibovitz', '摄影师', '美国', '传记', '安妮莱柏维兹的浮华视界', '美国电影']",https://movie.douban.com/subject/2143781/,2007
833,['美国'],2230,逐冰之旅 Chasing Ice,834,8.7,"['纪录片', '美国', '自然', '2012', '美国电影', '冰川', 'JamesBalog', 'JeffOrlowski']",https://movie.douban.com/subject/5158101/,2012
834,['台湾'],300,拔一条河 拔一條河,835,8.7,"['纪录片', '台湾', '台灣', '紀錄片', '杨力洲', '楊力州', '台湾电影', '2012']",https://movie.douban.com/subject/19971620/,2012
835,['中国大陆'],9338,大明宫,836,8.7,"['纪录片', '大明宫', '历史', '唐', '中国', '金铁木', '建筑', '大陆']",https://movie.douban.com/subject/5356803/,2009
836,['英国'],183,"失落的世界 消失的生命 Lost Worlds, Vanished Lives",837,8.7,"['纪录片', 'BBC', '自然', '英国', '失落的世界', '科普', 'David-Attenborough', 'BBC-Documentary']",https://movie.douban.com/subject/1899136/,1989
837,['美国'],219,绝对的乔丹 Michael Jordan: Playground,838,8.7,"['纪录片', '乔丹', '篮球', 'MichaelJordan', '美国', '体育', '1990', '美国电影']",https://movie.douban.com/subject/3015967/,1990
838,['日本'],2274,731部队的真相：精英“医者”与人体试验 731部隊の真実～エリート医学者と人体実験～,839,8.7,"['纪录片', '日本', 'NHK', '历史', '二战', '战争', '731', '2017']",https://movie.douban.com/subject/27112700/,2017
839,['美国'],230,走向美丽 A Walk to Beautiful,840,8.7,"['纪录片', '美国', '人性', '人生', '纪录', '美国电影', '女性', '2008']",https://movie.douban.com/subject/2070512/,2007
840,['中国大陆'],372,未来之家,841,8.7,"['纪录片', '中国', '科技', 'VICE', '2017', '设计', '竹子', '，未来']",https://movie.douban.com/subject/27037496/,2017
841,['日本'],452,情热大陆 古泽良太篇 情熱大陸 古沢良太編,842,8.7,"['纪录片', '日本', '情热大陆', '古沢良太', '情熱大陸', '古泽良太', '2013', '日剧']",https://movie.douban.com/subject/23023284/,2013
842,['英国'],595,与巨兽同行 Walking with Monsters,843,8.7,"['纪录片', 'bbc', '英国', '古生物', 'BBC', '与巨兽同行', '自然', '2005']",https://movie.douban.com/subject/1760875/,2005
843,['中国大陆'],318,燃烧的黄龙旗,844,8.7,"['纪录片', '李鸿章', '历史', '中国', '晚清', '淮军', '中国近代史', '近代化']",https://movie.douban.com/subject/4038335/,2009
844,['英国'],421,贝尔的荒岛生存实验 第一季 The Island with Bear Grylls Season 1,845,8.7,"['真人秀', '纪录片', '贝尔', '求生', '贝尔·格里尔斯', '英国', '2014', '贝爷']",https://movie.douban.com/subject/25890063/,2014
845,['中国大陆'],4247,超级工程,846,8.7,"['纪录片', '中国', '工程', '建筑', '大型项目', '中国力量', '2012', 'CCTV']",https://movie.douban.com/subject/19944168/,2012
846,['法国'],359,曾几何时...发条橙 Il était une fois… Orange mécanique,847,8.7,"['纪录片', '库布里克', '斯坦利·库布里克', '法国', '紀錄片', 'StanleyKubrick', '美国', 'cult']",https://movie.douban.com/subject/6225090/,2011
847,['美国'],159,时间分解 第一季 Time Warp Season 1,848,8.7,"['纪录片', '美国', '科普', '探索', 'discovery', '2008', '摇滚', '纪录']",https://movie.douban.com/subject/3275040/,2008
848,['英国'],545,你最想知道的科学 第一季 James May's Things You Need to Know Season 1,849,8.7,"['纪录片', 'BBC', '英国', '科普', '科学', '2011', '创意', 'Documentary']",https://movie.douban.com/subject/6759233/,2011
849,['英国'],383,纳粹警示录 The Nazis: A Warning From History,850,8.7,"['纪录片', 'BBC', '二战', '纳粹', '历史', '德國', '英国', '战争']",https://movie.douban.com/subject/1419712/,1997
850,['英国'],333,古代埃及人 Ancient Egyptians,851,8.7,"['纪录片', 'BBC', '埃及', '历史', '英国', '古埃及', '战争', '政治']",https://movie.douban.com/subject/5232851/,0
851,['中国大陆'],208,百山百川行,852,8.7,"['纪录片', '远方的家', '中国', 'CCTV', '旅行', '大陆', '人文', '2013']",https://movie.douban.com/subject/24527063/,2013
852,['台湾'],572,无米乐 無米樂,853,8.7,"['纪录片', '台湾', '台湾电影', '紀錄片', '無米樂', '農業', '台灣', '2005']",https://movie.douban.com/subject/2000675/,2004
853,"['中国大陆', '新西兰']",290,野性的终结,854,8.7,"['纪录片', '自然', '动物', '中国', '2014', '新西兰', '环保', '纪录']",https://movie.douban.com/subject/25949770/,2014
854,['美国'],1427,阿尔法围棋 AlphaGo,855,8.7,"['纪录片', '人工智能', 'AlphaGo', '科技', '美国', '围棋', '2017', '科学']",https://movie.douban.com/subject/27012433/,2017
855,['英国'],1837,披头士·时光印记 The Beatles on Record,856,8.7,"['纪录片', 'BBC', 'TheBeatles', '英国', '音乐', 'BEATLES', '摇滚', 'Documentary']",https://movie.douban.com/subject/4194983/,2009
856,['美国'],259,神奇的人体机器 Incredible Human Machine,857,8.7,"['纪录片', '人体', '国家地理', '美国', '科普', '生物', 'Documentary', '科学']",https://movie.douban.com/subject/3926830/,2007
857,['美国'],195,托尔金：中土的起源 J.R.R. Tolkien: Origins of Middle-Earth,858,8.7,"['纪录片', '魔戒', '托尔金', '美国', 'JRRTolkien', 'Documentary', '2003', '美国电影']",https://movie.douban.com/subject/24882570/,2003
858,['英国'],7010,愚昧年代 The Age of Stupid,859,8.7,"['纪录片', '环保', '英国', '反思', '愚昧年代', '2009', '未来', '人性']",https://movie.douban.com/subject/3287613/,2009
859,['美国'],663,"美国哈兰县 Harlan County, U.S.A.",860,8.7,"['纪录片', '美国', '美国电影', 'BarbaraKopple', '1970s', 'Documentary', '1976', '类别纪实']",https://movie.douban.com/subject/1294724/,1976
860,['日本'],243,HT ~N.Y.の中心で、鍋をつつく~,861,8.7,"['佐藤健', '三浦春马', '纪录片', '日本', '旅行', '三浦春馬', '日本电影', '2010']",https://movie.douban.com/subject/11610942/,2010
861,['日本'],243,紧急报告：东北关东大地震 緊急報告：東北關東大震災,862,8.7,"['纪录片', 'NHK', '日本', '日本大地震', 'NHK纪录片', '地震', '20110312日本大地震', '纪实']",https://movie.douban.com/subject/6030776/,2011
862,['日本'],218,Begin Japanology,863,8.7,"['纪录片', '日本', 'NHK', '文化', '美食', '日本纪录片', '2007', '纪录']",https://movie.douban.com/subject/5483700/,0
863,['中国大陆'],3267,敦煌,864,8.7,"['纪录片', '敦煌', '历史', '中国', '文化', '看过的电视剧', '华语标签', '大陆']",https://movie.douban.com/subject/3992615/,2010
864,['美国'],1122,炉香赞佛 The Buddha,865,8.7,"['纪录片', '佛教', '宗教', '佛陀', '美国', '佛', '記錄片', 'documentary']",https://movie.douban.com/subject/3882469/,2010
865,['挪威'],395,麦田怪圈 Crop Circles,866,8.7,"['纪录片', '麦田圈', '挪威', '麦田圈：异度空间的末世解码', '科普', '客观理性的解析麦田圈', 'documentary', '美国']",https://movie.douban.com/subject/3897842/,2005
866,['美国'],402,好莱坞奇才昆汀·塔伦蒂诺 Quentin Tarantino: Hollywood's Boy Wonder,867,8.7,"['纪录片', '昆汀·塔伦蒂诺', '美国', 'QuentinTarantino', '昆汀', '1994', '传记', '塔伦蒂诺']",https://movie.douban.com/subject/25824388/,1994
867,['日本'],766,狐狸的故事 キタキツネ物語,868,8.7,"['纪录片', '日本', '动物', '日本电影', '狐狸的故事', '狐狸', '经典', '藏原惟善']",https://movie.douban.com/subject/1471825/,1978
868,"['巴西', '英国']",602,垃圾场 Waste Land,869,8.7,"['纪录片', '巴西', '环保', '英国', 'Documentary', '2010', '垃圾场', '紀錄片']",https://movie.douban.com/subject/3166593/,2010
869,['日本'],826,纪实72小时 日本最北端的公交车站 ドキュメント72時間 最北のバス停で,870,8.7,"['纪录片', '日本', 'NHK', '纪实72小时', '2014', '日本纪录片', 'ドキュメント72時間', 'NHK纪录片']",https://movie.douban.com/subject/25980466/,2014
870,['法国'],806,"河狸白毛历险记 Mèche Blanche, les aventures du petit castor",871,8.7,"['纪录片', '动物', '法国', '法国电影', '河狸白毛历险记', '电影', '2008', '动画']",https://movie.douban.com/subject/3008143/,2008
871,['中国大陆'],1106,新丝绸之路,872,8.7,"['纪录片', '丝绸之路', '中国', '历史', '考古', '日本', '大陆', 'Documentary']",https://movie.douban.com/subject/1871396/,2006
872,"['英国', '美属萨摩亚 American Samoa', '新喀里多尼亚 New Caledonia']",351,下一球成名 Next Goal Wins,873,8.7,"['纪录片', '足球', '英国', '体育', '美属萨摩亚', '2013', '运动', '2014']",https://movie.douban.com/subject/25822695/,2013
